0x1f7	0x3135	320
0xb43	0x3635	320
0xb43	0x3639	316
0xb43	0x3761	20
0xb43	0x3737	62
0xd4f	0x6335	320
0x1044	0x66303231393136	2147483647
0x1044	0x64356236313032	2147483647
0x1044	0x64356236313033	2147483647
0x1044	0x64356236303030	2147483647
0x1044	0x64356236313038	2147483647
0x1044	0x63333738646161	2147483647
0x1044	0x656133363764	2147483647
0x1044	0x303262326337	2147483647
0x1639	0x323135	320
0x16d3	0x366535	320
0x17e9	0x663935	320
0x32ae	0x66303231393136	320
0x32ae	0x64356236313032	320
0x32ae	0x64356236313033	320
0x32ae	0x64356236303030	320
0x32ae	0x64356236313038	320
0x32ae	0x63333738646161	320
0x32ae	0x656133363764	320
0x32ae	0x303262326337	320
0x33e8	0x64316664	320
0x3516	0x3761	320
0x3550	0x66303231393136	320
0x3550	0x64356236313032	320
0x3550	0x64356236313033	320
0x3550	0x64356236303030	320
0x3550	0x64356236313038	320
0x3550	0x63333738646161	320
0x3550	0x656133363764	320
0x3550	0x303262326337	320
0x354	0x66303231393136	320
0x354	0x64356236313032	320
0x354	0x64356236313033	320
0x354	0x64356236303030	320
0x354	0x64356236313038	320
0x354	0x63333738646161	320
0x354	0x656133363764	320
0x354	0x303262326337	320
0x4d4	0x66303231393136	320
0x4d4	0x64356236313032	320
0x4d4	0x64356236313033	320
0x4d4	0x64356236303030	320
0x4d4	0x64356236313038	320
0x4d4	0x63333738646161	320
0x4d4	0x656133363764	320
0x4d4	0x303262326337	320
0x71e	0x66303231393136	320
0x71e	0x64356236313032	320
0x71e	0x64356236313033	320
0x71e	0x64356236303030	320
0x71e	0x64356236313038	320
0x71e	0x63333738646161	320
0x71e	0x656133363764	320
0x71e	0x303262326337	320
0x10cc	0x3530	320
0x10cc	0x3635	59
0x10cc	0x3639	55
0x11f2	0x3639	320
0x11f2	0x3761	24
0x11f2	0x3737	66
0x130a	0x66303231393136	320
0x130a	0x64356236313032	320
0x130a	0x64356236313033	320
0x130a	0x64356236303030	320
0x130a	0x64356236313038	320
0x130a	0x63333738646161	320
0x130a	0x656133363764	320
0x130a	0x303262326337	320
0x1880	0x3530	320
0x1880	0x3635	59
0x1880	0x3639	55
0x19a6	0x3639	320
0x19a6	0x3761	24
0x19a6	0x3737	66
0x1b48	0x3530	320
0x1b48	0x3635	59
0x1b48	0x3639	55
0x1cdc	0x66303231393136	320
0x1cdc	0x64356236313032	320
0x1cdc	0x64356236313033	320
0x1cdc	0x64356236303030	320
0x1cdc	0x64356236313038	320
0x1cdc	0x63333738646161	320
0x1cdc	0x656133363764	320
0x1cdc	0x303262326337	320
0x222e	0x3530	320
0x222e	0x3635	59
0x222e	0x3639	55
0x2a38	0x3530	320
0x2a38	0x3635	59
0x2a38	0x3639	55
0x2b5e	0x3639	320
0x2b5e	0x3761	24
0x2b5e	0x3737	66
0x2c76	0x66303231393136	320
0x2c76	0x64356236313032	320
0x2c76	0x64356236313033	320
0x2c76	0x64356236303030	320
0x2c76	0x64356236313038	320
0x2c76	0x63333738646161	320
0x2c76	0x656133363764	320
0x2c76	0x303262326337	320
0x2dee	0x3639	320
0x2dee	0x3761	24
0x2dee	0x3737	66
0x352e	0x66303231393136	320
0x352e	0x64356236313032	320
0x352e	0x64356236313033	320
0x352e	0x64356236303030	320
0x352e	0x64356236313038	320
0x352e	0x63333738646161	320
0x352e	0x656133363764	320
0x352e	0x303262326337	320
0x3533	0x66303231393136	14135
0x3533	0x64356236313032	14135
0x3533	0x64356236313033	14135
0x3533	0x6335	2147472385
0x3533	0x64356236303030	14135
0x3533	0x64356236313038	14135
0x3533	0x63333738646161	14135
0x3533	0x323135	2144208385
0x3533	0x366535	2143932929
0x3533	0x663935	2140798465
0x3533	0x64316664	466538706
0x3533	0x3761	2147483605
0x3533	0x656133363764	14135
0x3533	0x3737	2147483647
0x3533	0x303262326337	14135
